EventCode,status_code,signature,CategoryString,action,result,change_type,object_category
4671,-,An application attempted to access a blocked ordinal through the TBS,,,,,
4672,-,Special privileges assigned to new logon,Logon/Logoff Event,,,,
4673,-,A privileged service was called,Privilege Use Event,allowed,,,
4674,-,An operation was attempted on a privileged object,Privilege Use Event,allowed,,,
4675,-,SIDs were filtered,,,,,
4685,-,The state of a transaction has changed,File System Event,,,,
4688,-,A new process has been created,Detailed Tracking Event,,,,
4689,-,A process has exited,Detailed Tracking Event,,,,
4690,-,An attempt was made to duplicate a handle to an object,,,,,
4691,-,Indirect access to an object was requested,Object Access Event,,,,
4692,-,Backup of data protection master key was attempted,Data Protection Event,,,,
4693,-,Recovery of data protection master key was attempted,Data Protection Event,,,,
4694,-,Protection of auditable protected data was attempted,Data Protection Event,,,,
4695,-,Unprotection of auditable protected data was attempted,Data Protection Event,,,,
4696,-,A primary token was assigned to process,Detailed Tracking Event,,,,
4697,0x1,Service installation: Driver service,Security System Extension,,,,
4697,0x2,Service installation: File system driver service,Security System Extension,,,,
4697,0x4,Service installation: SERVICE_ADAPTER,Security System Extension,,,,
4697,0x8,Service installation: SERVICE_RECOGNIZER_DRIVER,Security System Extension,,,,
4697,0x10,Service installation: Service that runs in its own process,Security System Extension,,,,
4697,0x20,Service installation: Service that shares a process with one or more other services,Security System Extension,,,,
4697,0x110,Service installation: Service that runs in its own process, allowed to interact with desktop,Security System Extension,,,
4697,0x120,Service installation: Service that shares a process with one or more other services, allowed to interact with desktop,Security System Extension,,,
4698,-,A scheduled task was created,Object Access Event,created,,,
4699,-,A scheduled task was deleted,Object Access Event,deleted,,,
4700,-,A scheduled task was enabled,Object Access Event,enable,,,
4701,-,A scheduled task was disabled,Object Access Event,disable,,,
4702,-,A scheduled task was updated,Object Access Event,update,,,
4704,-,A user right was assigned,Authorization Policy Change,added,,Authorization,user
4705,-,A user right was removed,Authorization Policy Change,deleted,,Authorization,user
4706,-,A new trust was created to a domain,Authentication Policy Change,,,Authentication,policy
4707,-,A trust to a domain was removed,Authentication Policy Change,,,Authentication,policy
4709,-,IPsec Services was started,,,,,
4710,-,IPsec Services was disabled,,,,,
4711,-,PAStore Engine (1%),,,,,
4712,-,IPsec Services encountered a potentially serious failure,,,,,
4713,-,Kerberos policy was changed,Authentication Policy Change,,,Authentication,policy
4714,-,Encrypted data recovery policy was changed,Authorization Policy Change,,,Authorization,
4715,-,The audit policy (SACL) on an object was changed,Audit Policy Change,,,,
4716,-,Trusted domain information was modified,Authentication Policy Change,,,Authentication,policy
4717,-,System security access was granted to an account,Authentication Policy Change,,,Authentication,policy
4718,-,System security access was removed from an account,Authentication Policy Change,,,Authentication,policy
4719,-,System audit policy was changed,Audit Policy Change,,,Audit,policy
4720,-,A user account was created,User Account Management,created,,Authentication,user
4722,-,A user account was enabled,User Account Management,modified,,Authorization,user
4723,-,An attempt was made to change an account's password,User Account Management,updated,,Authentication,user
4724,-,An attempt was made to reset an accounts password,User Account Management,updated,,Authentication,user
4725,-,A user account was disabled,User Account Management,modified,,Authorization,user
4726,-,A user account was deleted,User Account Management,deleted,,Authentication,user
4727,-,A security-enabled global group was created,Security Group Management,created,A security-enabled global group was created,Authorization,group:sec
4728,-,A member was added to a security-enabled global group,Security Group Management,updated,A member was added to a security-enabled global group,Authorization,group:sec
4729,-,A member was removed from a security-enabled global group,Security Group Management,modified,A member was removed from a security-enabled global group,Authorization,group:sec
4730,-,A security-enabled global group was deleted,Security Group Management,deleted,A security-enabled global group was deleted,Authorization,group:sec
4731,-,A security-enabled local group was created,Security Group Management,created,A security-enabled local group was created,Authorization,group:sec
4732,-,A member was added to a security-enabled local group,Security Group Management,updated,A member was added to a security-enabled local group,Authorization,group:sec
4733,-,A member was removed from a security-enabled local group,Security Group Management,modified,A member was removed from a security-enabled local group,Authorization,group:sec
4734,-,A security-enabled local group was deleted,Security Group Management,deleted,A security-enabled local group was deleted,Authorization,group:sec
4735,-,A security-enabled local group was changed,Security Group Management,modified,A security-enabled local group was changed,Authorization,group:sec
4737,-,A security-enabled global group was changed,Security Group Management,modified,A security-enabled global group was changed,Authorization,group:sec
4738,-,A user account was changed,User Account Management,modified,,Authentication,user
4739,-,Domain Policy was changed,Other Account Management,modified,,domain,policy
4740,-,A user account was locked out,User Account Management,modified,lockout,Authentication,user
4741,-,A computer account was created,Computer Account Management,created,,Authentication,computer
4742,-,A computer account was changed,Computer Account Management,modified,,Authentication,computer
4743,-,A computer account was deleted,Computer Account Management,deleted,,Authentication,computer
4744,-,A security-disabled local group was created,Distribution Group Management,created,A security-disabled local group was created,Authorization,group:dis
4745,-,A security-disabled local group was changed,Distribution Group Management,modified,A security-disabled local group was changed,Authorization,group:dis
4746,-,A member was added to a security-disabled local group,Distribution Group Management,updated,A member was added to a security-disabled local group,Authorization,group:dis
4747,-,A member was removed from a security-disabled local group,Distribution Group Management,modified,A member was removed from a security-disabled local group,Authorization,group:dis
4748,-,A security-disabled local group was deleted,Distribution Group Management,deleted,A security-disabled local group was deleted,Authorization,group:dis
4749,-,A security-disabled global group was created,Distribution Group Management,created,A security-disabled global group was created,Authorization,group:dis
4750,-,A security-disabled global group was changed,Distribution Group Management,modified,A security-disabled global group was changed,Authorization,group:dis
4751,-,A member was added to a security-disabled global group,Distribution Group Management,updated,A member was added to a security-disabled global group,Authorization,group:dis
4752,-,A member was removed from a security-disabled global group,Distribution Group Management,modified,A member was removed from a security-disabled global group,Authorization,group:dis
4753,-,A security-disabled global group was deleted,Distribution Group Management,deleted,A security-disabled global group was deleted,Authorization,group:dis
4754,-,A security-enabled universal group was created,Security Group Management,created,A security-enabled universal group was created,Authorization,group:sec
4755,-,A security-enabled universal group was changed,Security Group Management,modified,A security-enabled universal group was changed,Authorization,group:sec
4756,-,A member was added to a security-enabled universal group,Security Group Management,updated,A member was added to a security-enabled universal group,Authorization,group:sec
4757,-,A member was removed from a security-enabled universal group,Security Group Management,modified,A member was removed from a security-enabled universal group,Authorization,group:sec
4758,-,A security-enabled universal group was deleted,Security Group Management,deleted,A security-enabled universal group was deleted,Authorization,group:sec
4759,-,A security-disabled universal group was created,Distribution Group Management,created,A security-disabled universal group was created,Authorization,group:dis
4760,-,A security-disabled universal group was changed,Distribution Group Management,modified,A security-disabled universal group was changed,Authorization,group:dis
4761,-,A member was added to a security-disabled universal group,Distribution Group Management,updated,A member was added to a security-disabled universal group,Authorization,group:dis
4762,-,A member was removed from a security-disabled universal group,Distribution Group Management,modified,A member was removed from a security-disabled universal group,Authorization,group:dis
4763,-,A security-disabled universal group was deleted,Distribution Group Management,deleted,A security-disabled universal group was deleted,Authorization,group:dis
4764,-,A groups type was changed,Security Group Management,modified,,Authorization,group:sec
4765,-,SID History was added to an account,,modified,,,
4766,-,An attempt to add SID History to an account failed,,failure,,,
4767,-,A user account was unlocked,User Account Management,modified,,Authentication,user
4768,0x0,A Kerberos authentication ticket (TGT) was requested,Kerberos Authentication Service,success,,Authentication,
4768,0x1,Kerberos TGT failure: Client's entry in database has expired,Kerberos Authentication Service,failed,,Authentication,
4768,0x2,Kerberos TGT failure: Server's entry in database has expired,Kerberos Authentication Service,failed,,Authentication,
4768,0x3,Kerberos TGT failure: Requested protocol version # not supported,Kerberos Authentication Service,failed,,Authentication,
4768,0x4,Kerberos TGT failure: Client's key encrypted in old master key,Kerberos Authentication Service,failed,,Authentication,
4768,0x5,Kerberos TGT failure: Server's key encrypted in old master key,Kerberos Authentication Service,failed,,Authentication,
4768,0x6,"Kerberos TGT failure: Client not found in Kerberos database. Bad user name, or new computer/user account has not replicated to DC yet",Kerberos Authentication Service,failed,,Authentication,
4768,0x7,Kerberos TGT failure: Server not found in Kerberos database. New computer account has not replicated yet or computer is pre-w2k,Kerberos Authentication Service,failed,,Authentication,
4768,0x8,Kerberos TGT failure: Multiple principal entries in database,Kerberos Authentication Service,failed,,Authentication,
4768,0x9,Kerberos TGT failure: The client or server has a null key. Administrator should reset the password on the account,Kerberos Authentication Service,failed,,Authentication,
4768,0xA,Kerberos TGT failure: Ticket not eligible for postdating,Kerberos Authentication Service,failed,,Authentication,
4768,0xB,Kerberos TGT failure: Requested start time is later than end time,Kerberos Authentication Service,failed,,Authentication,
4768,0xC,Kerberos TGT failure: KDC policy rejects request. Workstation restriction,Kerberos Authentication Service,failed,,Authentication,
4768,0xD,Kerberos TGT failure: KDC cannot accommodate requested option,Kerberos Authentication Service,failed,,Authentication,
4768,0xE,Kerberos TGT failure: KDC has no support for encryption type,Kerberos Authentication Service,failed,,Authentication,
4768,0xF,Kerberos TGT failure: KDC has no support for checksum type,Kerberos Authentication Service,failed,,Authentication,
4768,0x10,Kerberos TGT failure: KDC has no support for padata type,Kerberos Authentication Service,failed,,Authentication,
4768,0x11,Kerberos TGT failure: KDC has no support for transited type,Kerberos Authentication Service,failed,,Authentication,
4768,0x12,"Kerberos TGT failure: Clients credentials have been revoked. Account disabled, expired, locked out, logon hours.",Kerberos Authentication Service,failed,,Authentication,
4768,0x13,Kerberos TGT failure: Credentials for server have been revoked,Kerberos Authentication Service,failed,,Authentication,
4768,0x14,Kerberos TGT failure: TGT has been revoked,Kerberos Authentication Service,failed,,Authentication,
4768,0x15,Kerberos TGT failure: Client not yet valid - try again later,Kerberos Authentication Service,failed,,Authentication,
4768,0x16,Kerberos TGT failure: Server not yet valid - try again later,Kerberos Authentication Service,failed,,Authentication,
4768,0x17,Kerberos TGT failure: Password has expired. The user password has expired.,Kerberos Authentication Service,failed,,Authentication,
4768,0x18,Kerberos TGT failure: TGTentication information was invalid. Usually means bad password,Kerberos Authentication Service,failed,,Authentication,
4768,0x19,Kerberos TGT failure: Additional TGTentication required,Kerberos Authentication Service,failed,,Authentication,
4768,0x1F,Kerberos TGT failure: Integrity check on decrypted field failed,Kerberos Authentication Service,failed,,Authentication,
4768,0x20,Kerberos TGT failure: Ticket expired. Frequently logged by computer accounts,Kerberos Authentication Service,failed,,Authentication,
4768,0x21,Kerberos TGT failure: Ticket not yet valid,Kerberos Authentication Service,failed,,Authentication,
4768,0x21,Kerberos TGT failure: Ticket not yet valid,Kerberos Authentication Service,failed,,Authentication,
4768,0x22,Kerberos TGT failure: Request is a replay,Kerberos Authentication Service,failed,,Authentication,
4768,0x23,Kerberos TGT failure: The ticket isn't for us,Kerberos Authentication Service,failed,,Authentication,
4768,0x24,Kerberos TGT failure: Ticket and authenticator don't match,Kerberos Authentication Service,failed,,Authentication,
4768,0x25,Kerberos TGT failure: Clock skew too great. Workstation’s clock too far out of sync with the DC’s,Kerberos Authentication Service,failed,,Authentication,
4768,0x26,Kerberos TGT failure: Incorrect net address. IP address change?,Kerberos Authentication Service,failed,,Authentication,
4768,0x27,Kerberos TGT failure: Protocol version mismatch,Kerberos Authentication Service,failed,,Authentication,
4768,0x28,Kerberos TGT failure: Invalid msg type,Kerberos Authentication Service,failed,,Authentication,
4768,0x29,Kerberos TGT failure: Message stream modified,Kerberos Authentication Service,failed,,Authentication,
4768,0x2A,Kerberos TGT failure: Message out of order,Kerberos Authentication Service,failed,,Authentication,
4768,0x2C,Kerberos TGT failure: Specified version of key is not available,Kerberos Authentication Service,failed,,Authentication,
4768,0x2D,Kerberos TGT failure: Service key not available,Kerberos Authentication Service,failed,,Authentication,
4768,0x2E,Kerberos TGT failure: Mutual authentication failed. May be a memory allocation failure,Kerberos Authentication Service,failed,,Authentication,
4768,0x2F,Kerberos TGT failure: Incorrect message direction,Kerberos Authentication Service,failed,,Authentication,
4768,0x30,Kerberos TGT failure: Alternative authentication method required,Kerberos Authentication Service,failed,,Authentication,
4768,0x31,Kerberos TGT failure: Incorrect sequence number in message,Kerberos Authentication Service,failed,,Authentication,
4768,0x32,Kerberos TGT failure: Inappropriate type of checksum in message,Kerberos Authentication Service,failed,,Authentication,
4768,0x3C,Kerberos TGT failure: Generic error (description in e-text),Kerberos Authentication Service,failed,,Authentication,
4768,0x3D,Kerberos TGT failure: Field is too long for this implementation,Kerberos Authentication Service,failed,,Authentication,
4769,0x0,A Kerberos service ticket was requested,Kerberos Service Ticket Operations,success,,Authorization,
4769,0x1,Kerberos ST failure: Client's entry in database has expired,Kerberos Authentication Service,failed,,Authentication,
4769,0x2,Kerberos ST failure: Server's entry in database has expired,Kerberos Authentication Service,failed,,Authentication,
4769,0x3,Kerberos ST failure: Requested protocol version # not supported,Kerberos Authentication Service,failed,,Authentication,
4769,0x4,Kerberos ST failure: Client's key encrypted in old master key,Kerberos Authentication Service,failed,,Authentication,
4769,0x5,Kerberos ST failure: Server's key encrypted in old master key,Kerberos Authentication Service,failed,,Authentication,
4769,0x6,"Kerberos ST failure: Client not found in Kerberos database. Bad user name, or new computer/user account has not replicated to DC yet",Kerberos Authentication Service,failed,,Authentication,
4769,0x7,Kerberos ST failure: Server not found in Kerberos database. New computer account has not replicated yet or computer is pre-w2k,Kerberos Authentication Service,failed,,Authentication,
4769,0x8,Kerberos ST failure: Multiple principal entries in database,Kerberos Authentication Service,failed,,Authentication,
4769,0x9,Kerberos ST failure: The client or server has a null key. Administrator should reset the password on the account,Kerberos Authentication Service,failed,,Authentication,
4769,0xA,Kerberos ST failure: Ticket not eligible for postdating,Kerberos Authentication Service,failed,,Authentication,
4769,0xB,Kerberos ST failure: Requested start time is later than end time,Kerberos Authentication Service,failed,,Authentication,
4769,0xC,Kerberos ST failure: KDC policy rejects request. Workstation restriction,Kerberos Authentication Service,failed,,Authentication,
4769,0xD,Kerberos ST failure: KDC cannot accommodate requested option,Kerberos Authentication Service,failed,,Authentication,
4769,0xE,Kerberos ST failure: KDC has no support for encryption type,Kerberos Authentication Service,failed,,Authentication,
4769,0xF,Kerberos ST failure: KDC has no support for checksum type,Kerberos Authentication Service,failed,,Authentication,
4769,0x10,Kerberos ST failure: KDC has no support for padata type,Kerberos Authentication Service,failed,,Authentication,
4769,0x11,Kerberos ST failure: KDC has no support for transited type,Kerberos Authentication Service,failed,,Authentication,
4769,0x12,"Kerberos ST failure: Clients credentials have been revoked. Account disabled, expired, locked out, logon hours.",Kerberos Authentication Service,failed,,Authentication,
4769,0x13,Kerberos ST failure: Credentials for server have been revoked,Kerberos Authentication Service,failed,,Authentication,
4769,0x14,Kerberos ST failure: TGT has been revoked,Kerberos Authentication Service,failed,,Authentication,
4769,0x15,Kerberos ST failure: Client not yet valid - try again later,Kerberos Authentication Service,failed,,Authentication,
4769,0x16,Kerberos ST failure: Server not yet valid - try again later,Kerberos Authentication Service,failed,,Authentication,
4769,0x17,Kerberos ST failure: Password has expired. The user password has expired.,Kerberos Authentication Service,failed,,Authentication,
4769,0x18,Kerberos ST failure: Pre-authentication information was invalid. Usually means bad password,Kerberos Authentication Service,failed,,Authentication,
4769,0x19,Kerberos ST failure: Additional Pre-authentication required,Kerberos Authentication Service,failed,,Authentication,
4769,0x1F,Kerberos ST failure: Integrity check on decrypted field failed,Kerberos Authentication Service,failed,,Authentication,
4769,0x20,Kerberos ST failure: Ticket expired. Frequently logged by computer accounts,Kerberos Authentication Service,failed,,Authentication,
4769,0x21,Kerberos ST failure: Ticket not yet valid,Kerberos Authentication Service,failed,,Authentication,
4769,0x21,Kerberos ST failure: Ticket not yet valid,Kerberos Authentication Service,failed,,Authentication,
4769,0x22,Kerberos ST failure: Request is a replay,Kerberos Authentication Service,failed,,Authentication,
4769,0x23,Kerberos ST failure: The ticket isn't for us,Kerberos Authentication Service,failed,,Authentication,
4769,0x24,Kerberos ST failure: Ticket and authenticator don't match,Kerberos Authentication Service,failed,,Authentication,
4769,0x25,Kerberos ST failure: Clock skew too great. Workstation’s clock too far out of sync with the DC’s,Kerberos Authentication Service,failed,,Authentication,
4769,0x26,Kerberos ST failure: Incorrect net address. IP address change?,Kerberos Authentication Service,failed,,Authentication,
4769,0x27,Kerberos ST failure: Protocol version mismatch,Kerberos Authentication Service,failed,,Authentication,
4769,0x28,Kerberos ST failure: Invalid msg type,Kerberos Authentication Service,failed,,Authentication,
4769,0x29,Kerberos ST failure: Message stream modified,Kerberos Authentication Service,failed,,Authentication,
4769,0x2A,Kerberos ST failure: Message out of order,Kerberos Authentication Service,failed,,Authentication,
4769,0x2C,Kerberos ST failure: Specified version of key is not available,Kerberos Authentication Service,failed,,Authentication,
4769,0x2D,Kerberos ST failure: Service key not available,Kerberos Authentication Service,failed,,Authentication,
4769,0x2E,Kerberos ST failure: Mutual authentication failed. May be a memory allocation failure,Kerberos Authentication Service,failed,,Authentication,
4769,0x2F,Kerberos ST failure: Incorrect message direction,Kerberos Authentication Service,failed,,Authentication,
4769,0x30,Kerberos ST failure: Alternative authentication method required,Kerberos Authentication Service,failed,,Authentication,
4769,0x31,Kerberos ST failure: Incorrect sequence number in message,Kerberos Authentication Service,failed,,Authentication,
4769,0x32,Kerberos ST failure: Inappropriate type of checksum in message,Kerberos Authentication Service,failed,,Authentication,
4769,0x3C,Kerberos ST failure: Generic error (description in e-text),Kerberos Authentication Service,failed,,Authentication,
4769,0x3D,Kerberos ST failure: Field is too long for this implementation,Kerberos Authentication Service,failed,,Authentication,
4770,-,A Kerberos service ticket was renewed,Kerberos Service Ticket Operations,success,,Authorization,
4771,0x1,Kerberos pre-auth failure: Client's entry in database has expired,Kerberos Authentication Service,failure,,Authentication,
4771,0x2,Kerberos pre-auth failure: Server's entry in database has expired,Kerberos Authentication Service,failure,,Authentication,
4771,0x3,Kerberos pre-auth failure: Requested protocol version # not supported,Kerberos Authentication Service,failure,,Authentication,
4771,0x4,Kerberos pre-auth failure: Client's key encrypted in old master key,Kerberos Authentication Service,failure,,Authentication,
4771,0x5,Kerberos pre-auth failure: Server's key encrypted in old master key,Kerberos Authentication Service,failure,,Authentication,
4771,0x6,"Kerberos pre-auth failure: Client not found in Kerberos database. Bad user name, or new computer/user account has not replicated to DC yet",Kerberos Authentication Service,failure,,Authentication,
4771,0x7,Kerberos pre-auth failure: Server not found in Kerberos database. New computer account has not replicated yet or computer is pre-w2k,Kerberos Authentication Service,failure,,Authentication,
4771,0x8,Kerberos pre-auth failure: Multiple principal entries in database,Kerberos Authentication Service,failure,,Authentication,
4771,0x9,Kerberos pre-auth failure: The client or server has a null key. Administrator should reset the password on the account,Kerberos Authentication Service,failure,,Authentication,
4771,0xA,Kerberos pre-auth failure: Ticket not eligible for postdating,Kerberos Authentication Service,failure,,Authentication,
4771,0xB,Kerberos pre-auth failure: Requested start time is later than end time,Kerberos Authentication Service,failure,,Authentication,
4771,0xC,Kerberos pre-auth failure: KDC policy rejects request. Workstation restriction,Kerberos Authentication Service,failure,,Authentication,
4771,0xD,Kerberos pre-auth failure: KDC cannot accommodate requested option,Kerberos Authentication Service,failure,,Authentication,
4771,0xE,Kerberos pre-auth failure: KDC has no support for encryption type,Kerberos Authentication Service,failure,,Authentication,
4771,0xF,Kerberos pre-auth failure: KDC has no support for checksum type,Kerberos Authentication Service,failure,,Authentication,
4771,0x10,Kerberos pre-auth failure: KDC has no support for padata type,Kerberos Authentication Service,failure,,Authentication,
4771,0x11,Kerberos pre-auth failure: KDC has no support for transited type,Kerberos Authentication Service,failure,,Authentication,
4771,0x12,"Kerberos pre-auth failure: Clients credentials have been revoked. Account disabled, expired, locked out, logon hours.",Kerberos Authentication Service,failure,,Authentication,
4771,0x13,Kerberos pre-auth failure: Credentials for server have been revoked,Kerberos Authentication Service,failure,,Authentication,
4771,0x14,Kerberos pre-auth failure: TGT has been revoked,Kerberos Authentication Service,failure,,Authentication,
4771,0x15,Kerberos pre-auth failure: Client not yet valid - try again later,Kerberos Authentication Service,failure,,Authentication,
4771,0x16,Kerberos pre-auth failure: Server not yet valid - try again later,Kerberos Authentication Service,failure,,Authentication,
4771,0x17,Kerberos pre-auth failure: Password has expired. The user password has expired.,Kerberos Authentication Service,failure,,Authentication,
4771,0x18,Kerberos pre-auth failure: Pre-authentication information was invalid. Usually means bad password,Kerberos Authentication Service,failure,,Authentication,
4771,0x19,Kerberos pre-auth failure: Additional pre-authentication required,Kerberos Authentication Service,failure,,Authentication,
4771,0x1F,Kerberos pre-auth failure: Integrity check on decrypted field failed,Kerberos Authentication Service,failure,,Authentication,
4771,0x20,Kerberos pre-auth failure: Ticket expired. Frequently logged by computer accounts,Kerberos Authentication Service,failure,,Authentication,
4771,0x21,Kerberos pre-auth failure: Ticket not yet valid,Kerberos Authentication Service,failure,,Authentication,
4771,0x21,Kerberos pre-auth failure: Ticket not yet valid,Kerberos Authentication Service,failure,,Authentication,
4771,0x22,Kerberos pre-auth failure: Request is a replay,Kerberos Authentication Service,failure,,Authentication,
