EventCode,status_code,signature,CategoryString,action,result,change_type,object_category
645,-,Computer Account Created,Computer Account Management,created,,Authentication,computer
646,-,Computer Account Changed,Computer Account Management,modified,,Authentication,computer
647,-,Computer Account Deleted,Computer Account Management,deleted,,Authentication,computer
648,-,Security Disabled Local Group Created,Distribution Group Management,,,Authorization,group:dis
649,-,Security Disabled Local Group Changed,Distribution Group Management,,,Authorization,group:dis
650,-,Security Disabled Local Group Member Added,Distribution Group Management,,,Authorization,group:dis
651,-,Security Disabled Local Group Member Removed,Distribution Group Management,,,Authorization,group:dis
652,-,Security Disabled Local Group Deleted,Distribution Group Management,,,Authorization,group:dis
653,-,Security Disabled Global Group Created,Distribution Group Management,,,Authorization,group:dis
654,-,Security Disabled Global Group Changed,Distribution Group Management,,,Authorization,group:dis
655,-,Security Disabled Global Group Member Added,Distribution Group Management,,,Authorization,group:dis
656,-,Security Disabled Global Group Member Removed,Distribution Group Management,,,Authorization,group:dis
657,-,Security Disabled Global Group Deleted,Distribution Group Management,,,Authorization,group:dis
658,-,Security Enabled Universal Group Created,Security Group Management,,,Authorization,group:sec
659,-,Security Enabled Universal Group Changed,Security Group Management,,,Authorization,group:sec
660,-,Security Enabled Universal Group Member Added,Security Group Management,,,Authorization,group:sec
661,-,Security Enabled Universal Group Member Removed,Security Group Management,,,Authorization,group:sec
662,-,Security Enabled Universal Group Deleted,Security Group Management,,,Authorization,group:sec
663,-,Security Disabled Universal Group Created,Distribution Group Management,,,Authorization,group:dis
664,-,Security Disabled Universal Group Changed,Distribution Group Management,,,Authorization,group:dis
665,-,Security Disabled Universal Group Member Added,Distribution Group Management,,,Authorization,group:dis
666,-,Security Disabled Universal Group Member Removed,Distribution Group Management,,,Authorization,group:dis
667,-,Security Disabled Universal Group Deleted,Distribution Group Management,,,Authorization,group:dis
668,-,Group Type Changed,Security Group Management,modified,,,
669,-,Add SID History,,,,,
670,-,Add SID History,,,,,
671,-,User Account Unlocked,User Account Management,,,,
672,-,Authentication Ticket Granted,,,,,
673,-,Service Ticket Granted,,,,,
674,-,Ticket Granted Renewed,,,,,
675,-,Pre-authentication failed,,,,,
676,-,Authentication Ticket Request Failed,,,,,
677,-,Service Ticket Request Failed,,,,,
678,-,Account Mapped for Logon by,,,,,
679,-,The name: %2 could not be mapped for logon by: %1,,,,,
680,-,Account Used for Logon by,,,,,
681,-,The logon to account: %2 by: %1 from workstation: %3 failed.,,,,,
682,-,Session reconnected to winstation,,,,,
683,-,Session disconnected from winstation,,,,,
684,-,Set ACLs of members in administrators groups,User Account Management,,,,
685,-,Account Name Changed,User Account Management,,,,
686,-,Password of the following user accessed,User Account Management,,,,
687,-,Basic Application Group Created,Application Group Management,created,,Authorization,group:app
688,-,Basic Application Group Changed,Application Group Management,modified,,Authorization,group:app
689,-,Basic Application Group Member Added,Application Group Management,added,,Authorization,group:app
690,-,Basic Application Group Member Removed,Application Group Management,modified,,Authorization,group:app
691,-,Basic Application Group Non-Member Added,Application Group Management,added,,Authorization,group:app
692,-,Basic Application Group Non-Member Removed,Application Group Management,modified,,Authorization,group:app
693,-,Basic Application Group Deleted,Application Group Management,deleted,,Authorization,group:app
694,-,LDAP Query Group Created,Application Group Management,created,,Authorization,group:app
695,-,LDAP Query Group Changed,Application Group Management,modified,,Authorization,group:app
696,-,LDAP Query Group Deleted,Application Group Management,deleted,,Authorization,group:app
697,-,Password Policy Checking API is called,Other Account Management,,,,
806,-,Per User Audit Policy was refreshed,,,,,
807,-,Per user auditing policy set for user,,,,,
808,-,A security event source has attempted to register,,,,,
809,-,A security event source has attempted to unregister,,,,,
848,-,The following policy was active when the Windows Firewall started,,,,,
849,-,An application was listed as an exception when the Windows Firewall started,,,,,
850,-,A port was listed as an exception when the Windows Firewall started,,,,,
852,-,A change has been made to the Windows Firewall port exception list,,,,,
861,-,The Windows Firewall has detected an application listening for incoming traffic,,,,,
